,pos,words
0,Konjunktion,und
1,"['Pronomen', 'None', 'unregelmäßiges Verb', 'unregelmäßiges Verb']",sein
2,"['Pronomen', 'Adverb', 'Artikel', 'Zahlwort']",ein
3,"['unregelmäßiges Verb', 'unregelmäßiges Verb']",werden
4,"['Adverb', 'Präposition']",von
5,"['Präposition', 'Adverb']",mit
6,[],der
7,"['unregelmäßiges Verb', 'unregelmäßiges Verb']",haben
8,,im
9,[],fuer
10,Pronomen,sich
11,"['Präposition', 'Adverb']",auf
12,"['Präposition', 'Konjunktion', 'Adverb']",zu
13,"['Adverb', 'Präposition']",an
14,"['Adverb', 'Partikel']",nicht
15,['Pronomen'],es
16,"['Adverb', 'Partikel']",auch
17,Pronomen,er
18,"['Konjunktion', 'Konjunktion']",als
19,"['Präposition', 'Konjunktion', 'Adverb']",zu
20,Präposition,bei
21,"['Pronomen', 'None', 'unregelmäßiges Verb', 'unregelmäßiges Verb']",sein
22,Pronomen,sie
23,Pronomen,dies
24,"['Pronomen', 'Adverb', 'Artikel', 'Zahlwort']",ein
25,unregelmäßiges Verb,koennen
26,"['Präposition', 'Adverb']",nach
27,Konjunktion,dass
28,"['Pronomen', 'Pronomen', 'None', 'None']",ihr
29,"['Präposition', 'Konjunktion', 'Adverb']",zu
30,"['Präposition', 'Adverb']",aus
31,"Substantiv, Neutrum",Jahr
32,Pronomen,ich
33,"['Konjunktion', 'Adverb', 'Partikel', 'Partikel']",so
34,"['Konjunktion', 'Adverb', 'Partikel']",noch
35,,zum
36,"['None', 'Adverb']",alle
37,Pronomen,wir
38,"['Pronomen', 'Adverb', 'Artikel', 'Zahlwort']",ein
39,"['Adverb', 'Partikel']",nur
40,[],ueber
41,,am
42,unregelmäßiges Verb,sollen
43,Konjunktion,oder
44,"['Präposition', 'Adverb']",vor
45,unregelmäßiges Verb,muessen
46,"Substantiv, feminin",Uhr
47,starkes Verb,geben
48,,zur
49,Adjektiv,neu
50,"['Pronomen', 'Adverb']",man
51,Pronomen,kein
52,"['Partikel', 'Adverb', 'Konjunktion']",aber
53,"['Konjunktion', 'Adverb']",wie
54,schwaches Verb,sagen
55,Adjektiv,gut
56,"['Präposition', 'Adverb']",durch
57,"['Konjunktion', 'Adverb', 'Präposition']",um
58,starkes Verb,kommen
59,"['Adverb', 'Partikel']",erst
60,"['unregelmäßiges Verb', 'Adjektiv']",wollen
61,Adjektiv,grosz
62,Konjunktion,wenn
63,Pronomen und Zahlwort,andere
64,"['Präposition', 'Adverb']",gegen
65,"['Präposition', 'Konjunktion', 'Adverb', 'Adverb']",bis
66,unregelmäßiges Verb,gehen
67,"['Konjunktion', 'Adverb', 'Präposition']",um
68,"['Konjunktion', 'Adverb']",wie
69,"['Pronomen und Zahlwort', 'Adverb']",mehr
70,,vom
71,"['Adverb', 'Partikel']",schon
72,schwaches Verb,machen
73,"['Präposition', 'Konjunktion', 'Adverb', 'Adverb']",bis
74,"['Präposition', 'Konjunktion', 'Adverb', 'Adverb']",bis
75,Adverb,dann
76,Zahlwort,zwei
77,Adverb,wieder
78,unregelmäßiges Verb,stehen
79,"['Adverb', 'Pronomen und Zahlwort']",viel
80,Adjektiv,weit
81,"['Partikel', 'Adverb', 'Konjunktion']",aber
82,"['Adverb', 'Präposition']",an
83,,beim
84,"['Pronomen', 'Adverb', 'Pronomen', 'Pronomen']",was
85,starkes Verb,sehen
86,Adjektiv,deutsch
87,"['Partikel', 'Adverb']",immer
88,"['Partikel', 'Adverb', 'Konjunktion']",doch
89,starkes Verb,finden
90,"['Präposition', 'Adverb']",unter
91,"Substantiv, Neutrum",Prozent
92,Zahlwort,drei
93,"['Konjunktion', 'Adverb', 'Abkürzung']",da
94,starkes Verb,lassen
95,[],jede
96,"Substantiv, feminin",Zeit
97,"['Präposition', 'Adverb']",zwischen
98,"Substantiv, Neutrum",Kind
99,Adverb,hier
100,"['Präposition', 'Konjunktion']",seit
101,Adverb,bereits
102,"['Präposition', 'Adverb']",vor
103,"['Substantiv, maskulin', 'Substantiv, feminin']",Euro
104,"['Substantiv, maskulin', 'Substantiv, Neutrum', 'Substantiv, maskulin']",Tag
105,Pronomen und Zahlwort,beide
106,Adverb,heute
107,Adjektiv,alt
108,"['Konjunktion', 'Partikel', 'Adverb']",nun
109,"['Konjunktion', 'Adverb']",damit
110,starkes Verb,bleiben
111,"['Partikel', 'Adverb']",jetzt
112,Adverb,sehr
113,Adverb,dabei
114,starkes Verb,liegen
115,"Substantiv, feminin",Frau
116,"['Substantiv, maskulin', 'Substantiv, Neutrum']",Mensch
117,"Substantiv, feminin",Stadt
118,"['Pronomen', 'None']",unser
119,"Substantiv, Neutrum",Land
120,schwaches Verb,stellen
121,Konjunktion,sowie
122,"['Präposition', 'Adverb']",ab
123,"['Adverb', 'Adjektiv']",hoch
124,"['Pronomen', 'Substantiv, feminin']",Sie
